,Year,Candidate,Neuroticism,Extroversion,Openness,Agreeableness,Conscientiousness,Topic,Similarity_Score,bold_level,party
0,2012,biden,1.6290368,0.25860277,-0.3296434,-1.1274505,-0.29149768,605 - Law and Order: Positive,48.37,0.237183997631073,Democratic
1,2012,biden,-0.21462917,1.0652177,1.0160427,-0.45603526,-0.6348207,305 - Political Authority,63.917500000000004,0.3123313784599304,Democratic
2,2012,biden,-0.8262207,-0.74577045,-0.22270107,0.34104064,-0.25916722,305 - Political Authority,63.917500000000004,-0.2738553375005722,Democratic
3,2012,biden,0.2775129,0.4205323,0.73896617,-0.8405753,-1.2403616,305 - Political Authority,63.917500000000004,0.14191899180412293,Democratic
4,2012,biden,-0.05534176,0.14227392,0.4655376,-0.50590026,-1.123418,305 - Political Authority,63.917500000000004,0.011361415497958688,Democratic
5,2012,biden,-0.6821155,0.18160425,0.6074873,-0.23597375,-0.53688484,305 - Political Authority,63.917500000000004,0.07427044585347177,Democratic
6,2012,biden,0.975102,-1.3684276,-1.0225129,0.46944997,-0.20961922,305 - Political Authority,63.917500000000004,-0.559153910279274,Democratic
7,2012,biden,0.23141345,-1.1267192,-0.40875137,0.19961049,0.05202764,202 - Democracy,41.055,-0.33054515212774277,Democratic
8,2012,biden,0.28262034,-0.18553187,0.79078776,0.1535542,-0.49264175,105 - Military: Negative,53.632000000000005,-0.15489757016301156,Democratic
9,2012,biden,-0.5871946,-1.4068885,-1.619499,1.092005,0.2219843,105 - Military: Negative,53.632000000000005,-0.6130535060167314,Democratic
10,2012,biden,0.4457344,0.4366471,0.71141917,-0.29324928,-0.9144524,105 - Military: Negative,53.632000000000005,0.03528210282325747,Democratic
11,2012,biden,0.40379274,-0.53088266,-0.4753082,-0.18505348,-0.14446226,105 - Military: Negative,53.632000000000005,-0.12785088032484057,Democratic
12,2012,biden,-0.67786294,-2.2372932,-2.0814881,1.1440524,0.3844651,104 - Military: Positive,55.54888888888889,-0.80194919526577,Democratic
13,2012,biden,-0.1475011,-1.2828597,-1.0232294,1.1854012,0.66107315,104 - Military: Positive,55.54888888888889,-0.544520185738802,Democratic
14,2012,biden,-0.15426125,-0.79423827,-1.1366037,1.2545635,0.46174166,107 - Internationalism: Positive,50.18,-0.4864589522778988,Democratic
15,2012,biden,0.14649995,-1.200382,-1.6024134,-0.8323139,-1.0095054,109 - Internationalism: Negative,36.24,-0.25995823040604593,Democratic
16,2012,biden,-0.2443548,1.2016737,1.0595086,-0.93298185,-1.2983836,704 - Middle Class and Professional Groups,53.37230769230769,0.373881501108408,Democratic
17,2012,biden,-0.0020615833,0.24410322,0.98099804,0.10024419,0.19747984,704 - Middle Class and Professional Groups,53.37230769230769,0.08920516439946369,Democratic
18,2012,biden,0.044438746,0.048555344,-0.48957708,0.123969615,0.13999636,503 - Equality: Positive,39.800000000000004,-0.01805359434336424,Democratic
19,2012,biden,-0.74025035,-0.109821185,-0.28529727,-0.5897947,-0.9317435,403 - Market Regulation,50.42444444444445,0.019258280843496345,Democratic
